Plateforme,Avis,Notes sur 5
Remote,Easy Remote Work,4
Remote,Great Service,4
Remote,Praise for Customer Support,4
Remote,The only way a startup can manage a global workforce,4
Remote,A go-to EOR system,4
Remote,Great platform for hiring talents across the world,4
Remote,Remote is fundamental to Phaidra,4
Remote,Great support and feedback,4
Remote,Good for Startups!,4
Remote,The most convenient way to get employment benefits anywhere in the world,5
Remote,Great platform with amazing customer service!,4
Remote,Un servicio esplendido.,3
Remote,Superior IP protection and customer experience,5
Remote,Hiring talent across the world made easy,5
Remote,"Easy to use, constantly improving",5
Remote,Great experience,5
Remote,"Good service, great idea",5
Remote,Excellent service,5
Remote,Great platform & Service,5
Remote,The best tool for managing my invoices and getting paid,5
Remote,I thought it was bad until we've switched to a competitor,5
Remote,Best service for managing remote employees and payroll with tax compliances,5
Remote,Remote makes being remote fun,5
Remote,A great EoR,5
Remote,Smooth onboarding process and a great support team!,5
Remote,"Simple and easy to use, helpful support that actually thinks",4
Remote,Easy accessibility to all documents,4
Remote,Great support and easy to use,4
Remote,Software for Remote Worker,4
Remote,Excelent,4
Remote,Easy to use employer of record,4
Remote,Very innovative service for remote workers,4
Remote,Smooth collaboration and great customer support,4
Remote,"customer-oriented, easy to start",4
Remote,Good overall Product,5
Remote,First Experience with Remote,5
Remote,Great service - would highly recommend Remote,5
Remote,Great service,5
Remote,Implementation is so easy,5
Remote,Easy to Use,5
Remote,Great employee experience,5
Remote,Very unprofessional and poor customer service.,5
remote.com,"By far the easiest and most professional EOR out thereWe've used Remote for 14 employees in Mexico, Colombia, Costa Rica and India. Before using Remote, we used another EOR. Remote's service is impeccable, their platform is really easy to use, and their billing operations are very streamlined. They also assisted us during a mass layoff exercise, helping us navigate this complex situation. Of all the EORs we've explored and vetted they are by far the easiest and most professional to work with.Date of experience: February 27, 2024",4
remote.com,"Very good supportJaime was clearly explaining everything I needed to know, took the time to understand my problem and give me the best answer and even clarify some extra questions I had. Very nice support!Date of experience: February 26, 2024",4
remote.com,"I received on time feedback and action…I received on time feedback and action during my onboarding process as well as off boarding process. Appreciate the expertise to all questions and the FaQ pages and user guides; chatbot is also really helpful. Date of experience: February 26, 2024",4
remote.com,"Streamlined serviceSelected to use Remote.com for a colleague moving to a country where we had no entity for hiring him. Remote.com offers us flexible, streamlined and ""no-worry"" services with good support when needed.Date of experience: February 19, 2024",4
remote.com,"Remote’s customer service is top notchRemote’s customer service is top notch. I had the pleasure of interacting with Jaime Morugan Duran who answered my questions patiently. Highly recommend!Date of experience: February 21, 2024",4
