Plateforme,Utilisateur,Nombre de commentaires,Position Géographique,Date,Avis,Notes sur 5
rippling.com,Steven Jones,1 review,US,6 days ago,"Poor Customer Support AI - Great Person SupportRippling's introduction of AI to customer support is not helpful.  It is the most horrible experience. When I get to a person, things are great - please stop using AI - it has added time to my support engagements that should be more efficient. Date of experience: February 21, 2024",3
rippling.com,JH,1 review,US,"Jan 5, 2024","I am having trouble signing upI am having trouble signing up. No matter what I press it won't proceed to the next page. What's the point in having an online form if it doesn't work? There should be at least another way available.Date of experience: January 05, 2024",1
rippling.com,Lacey Taub,1 review,US,"Oct 25, 2022Invited","Rippling makes my daily work day easierRippling is one of, if not the easiest Employee Portal apps I have ever used. Payroll, Timekeeping, HR, Self-serve employment verification, everything I need in one place. They have an intuitive and easy to navigate interface, and they send alerts when my work devices need updates. It's easy to edit my clock in/out time, which is great because I don't have the best memory and it saves my manager loads of time (honestly, it saves everyone loads of time!)Date of experience: October 24, 2022",5
rippling.com,Sohail S,1 review,US,"Oct 29, 2022Invited","Rippling, Payroll, PEO and Devices and moreWe started with Rippling for our payroll. Its ability to do what we wanted to do at a price point that is reasonable for an early stage startup was invaluable. We have recently transitioned to their PEO product and cannot wait to use their global payroll as we work on expanding our business.We have also switched to their device management platform for all of our laptops and this is proving to be a boon as we work on achieving SOC2 Type 2 compliance.Date of experience: October 28, 2022",5
rippling.com,Oscar Rivas,1 review,US,"Oct 14, 2022Invited","Choosing a health plan can be easyChoosing a health plan is always confusing. There are so many options to choose from that one never knows how to proceed or how to make the best decision.Rippling does a great job at showing each plan side by side, so you can compare and contrast and make the best educated decision. Also, the use or progressive disclosure is fantastic. You, as a customer, don't feel like you are bombarded with a thousand questions all at once. Instead, the questions are asked one at the time so you have time to digest them before moving to the next important question/decision/action. Overall, great experience. Great design thinking and execution.Date of experience: October 13, 2022",5
rippling.com,Ryan W.,1 review,US,"Oct 11, 2022Invited","Best HR SoftwareRippling is the nicest and most-intuitive HR software I've ever used as an employee. It's almost mistake-proof as it guides you through whatever the process is. Whether it's signing up for benefits or requesting time off, a few simple clicks and you're all set.Date of experience: October 05, 2022",5
rippling.com,Jordan D.,1 review,US,"Nov 9, 2022Invited","I love using RipplingI love using Rippling for my HR needs. As an employee, it can get very overwhelming keeping up with paystubs, insurance, vacation days, calendar holidays, etc. With Rippling, they make it so easy that everything is in one place. It's very user friendly.Date of experience: November 09, 2022",5
rippling.com,Kelsey Pruitt,1 review,US,"Nov 3, 2022Invited","Rippling is user friendly and up to dateI use Rippling on a daily basis to clock in and out for work and keep track of my schedule and hours. Rippling is super user friendly and stays up to date with my hours worked, vacation time used and what's still available so that I can schedule my appointments and time off without having to worry about going over on my PTO! I also love that I can see what days we have off as company paid holidays. Rippling is definitely my favorite OPS that I've ever usedDate of experience: November 03, 2022",5
rippling.com,Isabel,1 review,US,"Nov 7, 2022Invited","The breeziest benefit management system!Rippling is incredibly simple and clear and well organized. Open Enrollment used to be a daunting thing that I would put off until the last possible second, but Rippling synthesizes everything into the only information you need to see, making it a breeze to complete. Org charts + PTO is also simplified and extra clear. I hope all my employers I ever work for have Rippling!Date of experience: November 07, 2022",5
rippling.com,Casey H.,1 review,US,"Oct 18, 2022Invited","I am just an end user rather than an…I am just an end user rather than an administrator but from my perspective it makes all things HR a breeze. Onboarding as a new employee was simple and efficient. I just completed my annual enrollment for insurance and options are well described and easy to select. Payroll, time off, every thing is fast and simple.Date of experience: October 18, 2022",5
rippling.com,Dan Luthi,4 reviews,US,"Oct 12, 2022Invited","I am super satisfied with our Rippling…I am super satisfied with our Rippling partnership. The team we have been able to work with has been very knowledgeable about the product they are providing and how to find solutions to our questions. Joel, Talia, and Nicole have been straightforward with the entire process. When suggestions came up to change how we provide benefits or process payroll, they explained all of their reasoning with compassion and understanding. All of this has made our transition process to Rippling so much easier.Date of experience: October 10, 2022",5
rippling.com,Ryan Abate,1 review,US,"Nov 16, 2022Invited","Rippling makes all employee processes EASY!Rippling makes annual enrollment simple and fast. Very detailed in its presentation but super easy to navigate. We have been using it for enrollment, expense integration through Expensify, and Payroll and Time-off. All modules couldn't be easier to navigate. All details are right there and instructions are easy to follow. Love having everything in one spot.Date of experience: November 16, 2022",5
rippling.com,Roodman Moron,1 review,US,"Oct 13, 2022Invited","Rippling it's simple and easy to use…Rippling it's simple and easy to use and a great tool to  manage employer benefits, time-off, and insurance more.""Tasks that used to be difficult in my old job are now easy using Rippling's platform. I love how everything I need is easily accessible in one spot. I also appreciate how easy Rippling seems to make administrative tasks. Looking for tax documents, enrolling in insurance, updating legal details, or pulling up pay stubs can be such a headache when they are hard to access or are spread out over many different platforms. Ripping unifies them all and is super intuitive to use.Date of experience: October 13, 2022",5
rippling.com,Kelley Steincamp,1 review,US,"Oct 18, 2022Invited","Our company changed to Rippling last…Our company changed to Rippling last year and the site is very user friendly.  I appreciate the dashboard and the To-Do lists (as well as the email reminders when important deadlines such as open enrollment deadlines).  Rippling has made it much easier to request time off and view pay stubs.  It's a great product!!Date of experience: October 18, 2022",5
rippling.com,Holly Maddox,1 review,US,"Aug 4, 2023","EASY PEASY!I LOVE Rippling! They made my On-Boarding experience SO easy, and have made my transition to my new job seamless! Every week when I get paid through Rippling, they send the most engaging emails. The platform is easy to access, easy to use, just EASY! I put in a request this week for the first time, and was able to navigate the process with no direction and no questions asked! I highly recommend Rippling to anyone.Date of experience: August 04, 2023",5
rippling.com,Richard Vallaster,1 review,US,"Nov 15, 2022Invited","Finally an HR/PeopleOps system designed for humans!Rippling has been both amazing as a manager and employee. We have used many systems over the years and this is the first one I actually enjoy using. For example, we just did our yearly open enrollment and it only took minutes to do it. Yes - minutes. It was intuitive and easy. I was able to make quick calculations and make informed decisions without needing help from our PeopleOps team. I was honestly prepared to spend more time and was so pleasantly surprised. Rippling is just clearly designed with the end-user in mind.Date of experience: November 15, 2022",5
rippling.com,Lucas Taffo,1 review,US,"Nov 9, 2022Invited","Rippling just works!Rippling just works! It's intuitive, easy-to-use, and extremely powerful. Rippling is the one-stop shop for everything Employee Management related - payroll, time off, benefits, etc. As an employee for a company that relies pretty heavily on Rippling, I love the user experience, and I love that I don't have to worry about not finding something, or not knowing how to do something. Rippling makes it easy.Date of experience: November 08, 2022",5
rippling.com,Ally Clokey,1 review,US,"Oct 24, 2022Invited","Rippling is the most simpleRippling is the most simple, easy to understand platform for all employee benefits! It's quick to use, concise in info, and it allows the employee to feel knowledgeable and totally in control of their decisions ranging from PTO to insurance selections. Usually, HR platforms add stress to an employee's day, but not Rippling! It's been a game changer for our company.Date of experience: October 24, 2022",5
